take a possible walk in the garden with 64 steps;NaN
1617;2307854;2741
1618;2310848;2994
1619;2313418;2570
1620;2316388;2970
1621;2319023;2635
1622;2321928;2905
1623;2324572;2644
1624;2327634;3062
1625;2330321;2687
1626;2333415;3094
1627;2336013;2598
1628;2339100;3087
1629;2341773;2673
1630;2344726;2953
1631;2347410;2684
1632;2350529;3119
1633;2353120;2591
1634;2356664;3544
1635;2359685;3021
1636;2363407;3722
1637;2366319;2912
1638;2369971;3652
1639;2372875;2904
1640;2376531;3656
1641;2379023;2492
1642;2382180;3157
1643;2384759;2579
1644;2387832;3073
1645;2390436;2604
1646;2393598;3162
1647;2396264;2666
1648;2399343;3079
1649;2401966;2623
1650;2405015;3049
1651;2407683;2668
1652;2410755;3072
1653;2413417;2662
1654;2416499;3082
1655;2419218;2719
1656;2422161;2943
1657;2424974;2813
1658;2428088;3114
1659;2430666;2578
1660;2433665;2999
1661;2436535;2870
1662;2439295;2760
1663;2442322;3027
1664;2445025;2703
1665;2448134;3109
1666;2450796;2662
1667;2453907;3111
1668;2456594;2687
1669;2459898;3304
1670;2462510;2612
1671;2465869;3359
1672;2468417;2548
1673;2471733;3316
1674;2474320;2587
1675;2477463;3143
1676;2480181;2718
1677;2483312;3131
1678;2486148;2836
1679;2489281;3133
1680;2491878;2597
1681;2495156;3278
1682;2497850;2694
1683;2501092;3242
1684;2503865;2773
1685;2506866;3001
1686;2509937;3071
1687;2512751;2814
1688;2516103;3352
1689;2518696;2593
1690;2522062;3366
1691;2524737;2675
1692;2527951;3214
1693;2530669;2718
1694;2533849;3180
1695;2536710;2861
1696;2539827;3117
1697;2542576;2749
1698;2545843;3267
1699;2548712;2869
1700;2551826;3114
1701;2554670;2844
1702;2557646;2976
1703;2560637;2991
1704;2563578;2941
1705;2566651;3073
1706;2569528;2877
1707;2572736;3208
1708;2575564;2828
1709;2578672;3108
1710;2581530;2858
1711;2584616;3086
1712;2587595;2979
1713;2590880;3285
1714;2593559;2679
1715;2596899;3340
1716;2599520;2621
1717;2603021;3501
1718;2605785;2764
1719;2609057;3272
1720;2612008;2951
1721;2614956;2948
1722;2618162;3206
1723;2620915;2753
1724;2624357;3442
1725;2627090;2733
1726;2630273;3183
1727;2633054;2781
1728;2636344;3290
1729;2639218;2874
1730;2642457;3239
1731;2645136;2679
1732;2648502;3366
1733;2651259;2757
1734;2654646;3387
1735;2657365;2719
1736;2660872;3507
1737;2663656;2784
1738;2666955;3299
1739;2669663;2708
1740;2672962;3299
1741;2675653;2691
1742;2678932;3279
1743;2681692;2760
1744;2684820;3128
1745;2687915;3095
1746;2690697;2782
1747;2693813;3116
1748;2696776;2963
1749;2700012;3236
1750;2702790;2778
1751;2706000;3210
1752;2708848;2848
1753;2711988;3140
1754;2714845;2857
1755;2718155;3310
1756;2721058;2903
1757;2724402;3344
1758;2727208;2806
1759;2730544;3336
1760;2733431;2887
1761;2736622;3191
1762;2739521;2899
1763;2742891;3370
1764;2745689;2798
1765;2749517;3828
1766;2752780;3263
1767;2756800;4020
1768;2759945;3145
1769;2763889;3944
1770;2767025;3136
1771;2770973;3948
1772;2773665;2692
1773;2777073;3408
1774;2779858;2785
1775;2783175;3317
1776;2785987;2812
1777;2789400;3413
1778;2792279;2879
1779;2795602;3323
1780;2798434;2832
1781;2801724;3290
1782;2804604;2880
1783;2807919;3315
1784;2810792;2873
1785;2814118;3326
1786;2817052;2934
1787;2820228;3176
1788;2823263;3035
1789;2826623;3360
1790;2829405;2782
1791;2832640;3235
1792;2835737;3097
1793;2838714;2977
1794;2841980;3266
1795;2844895;2915
1796;2848249;3354
1797;2851120;2871
1798;2854476;3356
1799;2857374;2898
1800;2860937;3563
1801;2863754;2817
1802;2867376;3622
1803;2870124;2748
1804;2873699;3575
1805;2876489;2790
1806;2879877;3388
1807;2882808;2931
1808;2886183;3375
1809;2889241;3058
1810;2892618;3377
1811;2895418;2800
1812;2898951;3533
1813;2901855;2904
1814;2905349;3494
1815;2908338;2989
1816;2911572;3234
1817;2914882;3310
1818;2917914;3032
1819;2921526;3612
1820;2924320;2794
1821;2927947;3627
1822;2930829;2882
1823;2934292;3463
1824;2937220;2928
1825;2940646;3426
1826;2943728;3082
1827;2947086;3358
1828;2950047;2961
1829;2953566;3519
1830;2956656;3090
1831;2960010;3354
1832;2963073;3063
1833;2966278;3205
1834;2969499;3221
1835;2972666;3167
1836;2975975;3309
1837;2979073;3098
1838;2982527;3454
1839;2985572;3045
1840;2988918;3346
1841;2991995;3077
1842;2995317;3322
1843;2998524;3207
1844;3002060;3536
1845;3004944;2884
1846;3008539;3595
1847;3011360;2821
1848;3015128;3768
1849;3018103;2975
1850;3021624;3521
1851;3024800;3176
1852;3027972;3172
1853;3031422;3450
1854;3034384;2962
1855;3038088;3704
1856;3041028;2940
1857;3044453;3425
1858;3047444;2991
1859;3050984;3540
1860;3054075;3091
1861;3057560;3485
1862;3060441;2881
1863;3064062;3621
1864;3067027;2965
1865;3070670;3643
1866;3073594;2924
1867;3077366;3772
1868;3080360;2994
1869;3083907;3547
1870;3086819;2912
1871;3090366;3547
1872;3093260;2894
1873;3096785;3525
1874;3099753;2968
1875;3103115;3362
1876;3106443;3328
1877;3109433;2990
1878;3112783;3350
1879;3115968;3185
1880;3119446;3478
1881;3122432;2986
1882;3125882;3450
1883;3128943;3061
1884;3132318;3375
1885;3135388;3070
1886;3138946;3558
1887;3142065;3119
1888;3145659;3594
1889;3148673;3014
1890;3152258;3585
1891;3155359;3101
1892;3158788;3429
1893;3161902;3114
1894;3165523;3621
1895;3168528;3005
1896;3172640;4112
1897;3176145;3505
1898;3180463;4318
1899;3183841;3378
1900;3188077;4236
1901;3191445;3368
1902;3195685;4240
1903;3198577;2892
1904;3202236;3659
1905;3205227;2991
1906;3208788;3561
1907;3211808;3020
1908;3215472;3664
1909;3218564;3092
1910;3222131;3567
1911;3225172;3041
1912;3228703;3531
1913;3231795;3092
1914;3235353;3558
1915;3238437;3084
1916;3242007;3570
1917;3245156;3149
1918;3248565;3409
1919;3251822;3257
1920;3255428;3606
1921;3258414;2986
1922;3261885;3471
1923;3265209;3324
1924;3268403;3194
1925;3271908;3505
1926;3275035;3127
1927;3278634;3599
1928;3281714;3080
1929;3285315;3601
1930;3288424;3109
1931;3292246;3822
1932;3295268;3022
1933;3299153;3885
1934;3302101;2948
1935;3305935;3834
1936;3308928;2993
1937;3312561;3633
1938;3315705;3144
1939;3319324;3619
1940;3322604;3280
1941;3326225;3621
1942;3329228;3003
1943;3333016;3788
1944;3336130;3114
1945;3339876;3746
1946;3343081;3205
1947;3346548;3467
1948;3350097;3549
1949;3353347;3250
1950;3357219;3872
1951;3360214;2995
1952;3364102;3888
1953;3367191;3089
1954;3370903;3712
1955;3374041;3138
1956;3377713;3672
1957;3381016;3303
1958;3384615;3599
1959;3387788;3173
1960;3391559;3771
1961;3394870;3311
1962;3398464;3594
1963;3401746;3282
1964;3405180;3434
1965;3408631;3451
1966;3412024;3393
1967;3415569;3545
1968;3418888;3319
1969;3422588;3700
1970;3425850;3262
1971;3429434;3584
1972;3432730;3296
1973;3436288;3558
1974;3439723;3435
1975;3443510;3787
1976;3446599;3089
1977;3450449;3850
1978;3453470;3021
1979;3457505;4035
1980;3460691;3186
1981;3464461;3770
1982;3467862;3401
1983;3471258;3396
1984;3474952;3694
1985;3478123;3171
1986;3482089;3966
1987;3485236;3147
1988;3488903;3667
1989;3492104;3201
1990;3495894;3790
1991;3499202;3308
1992;3502933;3731
1993;3506016;3083
1994;3509892;3876
1995;3513065;3173
1996;3516964;3899
1997;3520093;3129
1998;3524130;4037
1999;3527334;3204
2000;3531129;3795
2001;3534245;3116
2002;3538040;3795
2003;3541137;3097
2004;3544908;3771
2005;3548084;3176
2006;3551680;3596
2007;3555241;3561
2008;3558439;3198
2009;3562023;3584
2010;3565430;3407
2011;3569150;3720
2012;3572344;3194
2013;3576034;3690
2014;3579308;3274
2015;3582918;3610
2016;3586201;3283
2017;3590007;3806
2018;3593342;3335
2019;3597186;3844
2020;3600408;3222
2021;3604242;3834
2022;3607557;3315
2023;3611224;3667
2024;3614553;3329
2025;3618425;3872
2026;3621637;3212
2027;3626033;4396
2028;3629780;3747
2029;3634396;4616
2030;3638007;3611
2031;3642535;4528
2032;3646135;3600
2033;3650667;4532
2034;3653759;3092
2035;3657669;3910
2036;3660866;3197
2037;3664671;3805
2038;3667899;3228
2039;3671814;3915
2040;3675119;3305
2041;3678930;3811
2042;3682180;3250
2043;3685952;3772
2044;3689256;3304
2045;3693057;3801
2046;3696352;3295
2047;3700166;3814
2048;3703530;3364
2049;3707172;3642
2050;3710651;3479
2051;3714503;3852
2052;3717693;3190
2053;3721400;3707
2054;3724951;3551
2055;3728362;3411
2056;3732106;3744
2057;3735445;3339
2058;3739289;3844
2059;3742578;3289
2060;3746424;3846
2061;3749744;3320
2062;3753825;4081
2063;3757052;3227
2064;3761200;4148
2065;3764348;3148
2066;3768441;4093
2067;3771637;3196
2068;3775515;3878
2069;3778872;3357
2070;3782735;3863
2071;3786237;3502
2072;3790102;3865
2073;3793308;3206
2074;3797351;4043
2075;3800675;3324
2076;3804673;3998
2077;3808094;3421
2078;3811794;3700
2079;3815582;3788
2080;3819050;3468
2081;3823182;4132
2082;3826378;3196
2083;3830527;4149
2084;3833823;3296
2085;3837784;3961
2086;3841132;3348
2087;3845050;3918
2088;3848574;3524
2089;3852414;3840
2090;3855799;3385
2091;3859822;4023
2092;3863354;3532
2093;3867188;3834
2094;3870689;3501
2095;3874352;3663
2096;3878033;3681
2097;3881652;3619
2098;3885433;3781
2099;3888973;3540
2100;3892919;3946
2101;3896398;3479
2102;3900220;3822
2103;3903735;3515
2104;3907529;3794
2105;3911192;3663
2106;3915230;4038
2107;3918524;3294
2108;3922629;4105
2109;3925850;3221
2110;3930152;4302
2111;3933549;3397
2112;3937568;4019
2113;3941194;3626
2114;3944814;3620
2115;3948752;3938
2116;3952132;3380
2117;3956360;4228
2118;3959714;3354
2119;3963623;3909
2120;3967034;3411
2121;3971074;4040
2122;3974599;3525
2123;3978576;3977
2124;3981861;3285
2125;3985992;4131
2126;3989373;3381
2127;3993528;4155
2128;3996862;3334
2129;4001164;4302
2130;4004578;3414
2131;4008621;4043
2132;4011941;3320
2133;4015984;4043
2134;4019284;3300
2135;4023301;4017
2136;4026685;3384
2137;4030515;3830
2138;4034309;3794
2139;4037715;3406
2140;4041533;3818
2141;4045162;3629
2142;4049124;3962
2143;4052526;3402
2144;4056456;3930
2145;4059943;3487
2146;4063788;3845
2147;4067284;3496
2148;4071338;4054
2149;4074889;3551
2150;4078983;4094
2151;4082413;3430
2152;4086496;4083
2153;4090025;3529
2154;4093930;3905
2155;4097474;3544
2156;4101597;4123
2157;4105016;3419
2158;4109696;4680
2159;4113685;3989
2160;4118599;4914
2161;4122443;3844
2162;4127263;4820
2163;4131095;3832
2164;4135919;4824
2165;4139211;3292
2166;4143372;4161
2167;4146775;3403
2168;4150824;4049
2169;4154260;3436
2170;4158426;4166
2171;4161944;3518
2172;4165999;4055
2173;4169458;3459
2174;4173471;4013
2175;4176987;3516
2176;4181031;4044
2177;4184537;3506
2178;4188595;4058
2179;4192174;3579
2180;4196049;3875
2181;4199750;3701
2182;4203848;4098
2183;4207242;3394
2184;4211185;3943
2185;4214963;3778
2186;4218591;3628
2187;4222574;3983
2188;4226125;3551
2189;4230214;4089
2190;4233712;3498
2191;4237803;4091
2192;4241334;3531
2193;4245674;4340
2194;4249106;3432
2195;4253517;4411
2196;4256865;3348
2197;4261217;4352
2198;4264616;3399
2199;4268739;4123
2200;4272309;3570
2201;4276416;4107
2202;4280140;3724
2203;4284249;4109
2204;4287658;3409
2205;4291956;4298
2206;4295490;3534
2207;4299740;4250
2208;4303377;3637
2209;4307310;3933
2210;4311337;4027
2211;4315023;3686
2212;4319415;4392
2213;4322812;3397
2214;4327222;4410
2215;4330725;3503
2216;4334935;4210
2217;4338493;3558
2218;4342657;4164
2219;4346402;3745
2220;4350483;4081
2221;4354080;3597
2222;4358355;4275
2223;4362108;3753
2224;4366182;4074
2225;4369902;3720
2226;4373794;3892
2227;4377705;3911
2228;4381550;3845
2229;4385567;4017
2230;4389328;3761
2231;4393520;4192
2232;4397216;3696
2233;4401276;4060
2234;4405010;3734
2235;4409040;4030
2236;4412931;3891
2237;4417220;4289
2238;4420719;3499
2239;4425079;4360
2240;4428500;3421
2241;4433069;4569
2242;4436677;3608
2243;4440945;4268
2244;4444796;3851
2245;4448640;3844
2246;4452822;4182
2247;4456411;3589
2248;4460901;4490
2249;4464462;3561
2250;4468613;4151
2251;4472234;3621
2252;4476524;4290
2253;4480266;3742
2254;4484489;4223
2255;4487976;3487
2256;4492362;4386
2257;4495951;3589
2258;4500362;4411
2259;4503901;3539
2260;4508468;4567
2261;4512092;3624
2262;4516383;4291
2263;4519907;3524
2264;4524198;4291
2265;4527701;3503
2266;4531964;4263
2267;4535556;3592
2268;4539620;4064
2269;4543647;4027
2270;4547261;3614
2271;4551313;4052
2272;4555164;3851
2273;4559368;4204
2274;4562978;3610
2275;4567148;4170
2276;4570848;3700
2277;4574928;4080
2278;4578637;3709
2279;4582939;4302
2280;4586706;3767
2281;4591050;4344
2282;4594688;3638
2283;4599020;4332
2284;4602763;3743
2285;4606906;4143
2286;4610665;3759
2287;4615039;4374
2288;4618665;3626
2289;4623629;4964
2290;4627860;4231
2291;4633072;5212
2292;4637149;4077
2293;4642261;5112
2294;4646325;4064
2295;4651441;5116
2296;4654933;3492
2297;4659345;4412
2298;4662954;3609
2299;4667247;4293
2300;4670891;3644
2301;4675308;4417
2302;4679039;3731
2303;4683338;4299
2304;4687006;3668
2305;4691260;4254
2306;4694988;3728
2307;4699275;4287
2308;4702992;3717
2309;4707294;4302
2310;4711088;3794
2311;4715196;4108
2312;4719119;3923
2313;4723463;4344
2314;4727061;3598
2315;4731240;4179
2316;4735245;4005
2317;4739090;3845
2318;4743312;4222
2319;4747075;3763
2320;4751409;4334
2321;4755116;3707
2322;4759452;4336
2323;4763194;3742
2324;4767793;4599
2325;4771430;3637
2326;4776104;4674
2327;4779652;3548
2328;4784263;4611
2329;4787865;3602
2330;4792233;4368
2331;4796016;3783
2332;4800367;4351
2333;4804313;3946
2334;4808666;4353
2335;4812278;3612
2336;4816831;4553
2337;4820575;3744
2338;4825077;4502
2339;4828930;3853
2340;4833096;4166
2341;4837362;4266
2342;4841266;3904
2343;4845918;4652
2344;4849516;3598
2345;4854187;4671
2346;4857897;3710
2347;4862356;4459
2348;4866124;3768
2349;4870534;4410
2350;4874500;3966
2351;4878822;4322
2352;4882631;3809
2353;4887158;4527
2354;4891132;3974
2355;4895446;4314
2356;4899385;3939
2357;4903506;4121
2358;4907647;4141
2359;4911718;4071
2360;4915971;4253
2361;4919953;3982
2362;4924391;4438
2363;4928304;3913
2364;4932602;4298
2365;4936555;3953
2366;4940821;4266
2367;4944940;4119
2368;4949480;4540
2369;4953184;3704
2370;4957799;4615
2371;4961420;3621
2372;4966256;4836
2373;4970075;3819
2374;4974592;4517
2375;4978668;4076
2376;4982736;4068
2377;4987162;4426
2378;4990960;3798
2379;4995712;4752
2380;4999480;3768
2381;5003873;4393
2382;5007704;3831
2383;5012244;4540
2384;5016203;3959
2385;5020672;4469
2386;5024361;3689
2387;5029002;4641
2388;5032799;3797
2389;5037466;4667
2390;5041210;3744
2391;5046042;4832
2392;5049876;3834
2393;5054415;4539
2394;5058143;3728
2395;5062682;4539
2396;5066388;3706
2397;5070897;4509
2398;5074697;3800
2399;5078995;4298
2400;5083255;4260
2401;5087077;3822
2402;5091363;4286
2403;5095436;4073
2404;5099882;4446
2405;5103700;3818
2406;5108110;4410
2407;5112023;3913
2408;5116338;4315
2409;5120260;3922
2410;5124810;4550
2411;5128793;3983
2412;5133387;4594
2413;5137233;3846
2414;5141814;4581
2415;5145771;3957
2416;5150152;4381
2417;5154126;3974
2418;5158751;4625
2419;5162584;3833
2420;5167832;5248
2421;5172305;4473
2422;5177815;5510
2423;5182125;4310
2424;5187529;5404
2425;5191825;4296
2426;5197233;5408
2427;5200925;3692
2428;5205588;4663
2429;5209403;3815
2430;5213940;4537
2431;5217792;3852
2432;5222460;4668
2433;5226404;3944
2434;5230947;4543
2435;5234824;3877
2436;5239319;4495
2437;5243259;3940
2438;5247789;4530
2439;5251717;3928
2440;5256263;4546
2441;5260272;4009
2442;5264613;4341
2443;5268758;4145
2444;5273348;4590
2445;5277150;3802
2446;5281565;4415
2447;5285797;4232
2448;5289859;4062
2449;5294320;4461
2450;5298295;3975
2451;5302874;4579
2452;5306790;3916
2453;5311371;4581
2454;5315324;3953
2455;5320182;4858
2456;5324024;3842
2457;5328961;4937
2458;5332709;3748
2459;5337579;4870
2460;5341384;3805
2461;5345997;4613
2462;5349993;3996
2463;5354588;4595
2464;5358756;4168
2465;5363353;4597
2466;5367168;3815
2467;5371976;4808
2468;5375930;3954
2469;5380684;4754
2470;5384753;4069
2471;5389152;4399
2472;5393657;4505
2473;5397779;4122
2474;5402691;4912
2475;5406490;3799
2476;5411422;4932
2477;5415339;3917
2478;5420047;4708
2479;5424025;3978
2480;5428681;4656
2481;5432868;4187
2482;5437431;4563
2483;5441452;4021
2484;5446231;4779
2485;5450426;4195
2486;5454980;4554
2487;5459138;4158
2488;5463488;4350
2489;5467859;4371
2490;5472156;4297
2491;5476645;4489
2492;5480848;4203
2493;5485532;4684
2494;5489662;4130
2495;5494198;4536
2496;5498370;4172
2497;5502872;4502
2498;5507219;4347
2499;5512010;4791
2500;5515919;3909
2501;5520789;4870
2502;5524610;3821
2503;5529713;5103
2504;5533743;4030
2505;5538509;4766
2506;5542810;4301
2507;5547102;4292
2508;5551772;4670
2509;5555779;4007
2510;5560793;5014
2511;5564768;3975
2512;5569403;4635
2513;5573444;4041
2514;5578234;4790
2515;5582410;4176
2516;5587125;4715
2517;5591016;3891
2518;5595912;4896
2519;5599917;4005
2520;5604840;4923
2521;5608789;3949
2522;5613886;5097
2523;5617930;4044
2524;5622717;4787
2525;5626649;3932
2526;5631436;4787
2527;5635345;3909
2528;5640100;4755
2529;5644108;4008
2530;5648640;4532
2531;5653133;4493
2532;5657163;4030
2533;5661683;4520
2534;5665978;4295
2535;5670666;4688
2536;5674692;4026
2537;5679342;4650
2538;5683468;4126
2539;5688018;4550
2540;5692153;4135
2541;5696951;4798
2542;5701150;4199
2543;5705994;4844
2544;5710048;4054
2545;5714878;4830
2546;5719049;4171
2547;5723668;4619
2548;5727857;4189
2549;5732733;4876
2550;5736773;4040
2551;5742305;5532
2552;5747020;4715
2553;5752828;5808
2554;5757371;4543
2555;5763067;5696
2556;5767595;4528
2557;5773295;5700
2558;5777187;3892
2559;5782101;4914
2560;5786122;4021
2561;5790903;4781
2562;5794963;4060
2563;5799882;4919
2564;5804039;4157
2565;5808826;4787
2566;5812912;4086
2567;5817648;4736
2568;5821800;4152
2569;5826573;4773
2570;5830712;4139
2571;5835502;4790
2572;5839726;4224
2573;5844300;4574
2574;5848667;4367
2575;5853503;4836
2576;5857509;4006
2577;5862160;4651
2578;5866619;4459
2579;5870898;4279
2580;5875598;4700
2581;5879785;4187
2582;5884609;4824
2583;5888734;4125
2584;5893560;4826
2585;5897724;4164
2586;5902841;5117
2587;5906888;4047
2588;5912088;5200
2589;5916036;3948
2590;5921165;5129
2591;5925173;4008
2592;5930031;4858
2593;5934240;4209
2594;5939079;4839
2595;5943469;4390
2596;5948310;4841
2597;5952328;4018
2598;5957391;5063
2599;5961555;4164
2600;5966561;5006
2601;5970846;4285
2602;5975478;4632
2603;5980222;4744
2604;5984562;4340
2605;5989734;5172
2606;5993734;4000
2607;5998927;5193
2608;6003051;4124
2609;6008008;4957
2610;6012196;4188
2611;6017098;4902
2612;6021506;4408
2613;6026310;4804
2614;6030543;4233
2615;6035574;5031
2616;6039990;4416
2617;6044784;4794
2618;6049161;4377
2619;6053740;4579
2620;6058341;4601
2621;6062864;4523
2622;6067589;4725
2623;6072013;4424
2624;6076943;4930
2625;6081290;4347
2626;6086064;4774
2627;6090455;4391
2628;6095193;4738
2629;6099768;4575
2630;6104810;5042
2631;6108924;4114
2632;6114049;5125
2633;6118070;4021
2634;6123440;5370
2635;6127681;4241
2636;6132696;5015
2637;6137222;4526
2638;6141738;4516
2639;6146652;4914
2640;6150868;4216
2641;6156144;5276
2642;6160326;4182
2643;6165203;4877
2644;6169454;4251
2645;6174494;5040
2646;6178887;4393
2647;6183848;4961
2648;6187941;4093
2649;6193092;5151
2650;6197305;4213
2651;6202484;5179
2652;6206638;4154
2653;6212000;5362
2654;6216254;4254
2655;6221289;5035
2656;6225425;4136
2657;6230460;5035
2658;6234572;4112
2659;6239573;5001
2660;6243789;4216
2661;6248555;4766
2662;6253281;4726
2663;6257519;4238
2664;6262273;4754
2665;6266790;4517
2666;6271720;4930
2667;6275954;4234
2668;6280844;4890
2669;6285183;4339
2670;6289968;4785
2671;6294316;4348
2672;6299362;5046
2673;6303777;4415
2674;6308871;5094
2675;6313133;4262
2676;6318212;5079
2677;6322597;4385
2678;6327454;4857
2679;6331858;4404
2680;6336985;5127
2681;6341232;4247
2682;6347048;5816
2683;6352005;4957
2684;6358111;6106
2685;6362887;4776
2686;6368875;5988
2687;6373635;4760
2688;6379627;5992
2689;6383719;4092
2690;6388884;5165
2691;6393111;4227
2692;6398136;5025
2693;6402404;4268
2694;6407574;5170
2695;6411944;4370
2696;6416975;5031
2697;6421270;4295
2698;6426247;4977
2699;6430611;4364
2700;6435627;5016
2701;6439977;4350
2702;6445011;5034
2703;6449450;4439
2704;6454257;4807
2705;6458846;4589
2706;6463928;5082
2707;6468138;4210
2708;6473025;4887
2709;6477711;4686
2710;6482207;4496
2711;6487146;4939
2712;6491545;4399
2713;6496614;5069
2714;6500948;4334
2715;6506019;5071
2716;6510394;4375
2717;6515770;5376
2718;6520022;4252
2719;6525485;5463
2720;6529633;4148
2721;6535021;5388
2722;6539232;4211
2723;6544335;5103
2724;6548757;4422
2725;6553840;5083
2726;6558452;4612
2727;6563537;5085
2728;6567758;4221
2729;6573076;5318
2730;6577450;4374
2731;6582708;5258
2732;6587209;4501
2733;6592074;4865
2734;6597057;4983
2735;6601615;4558
2736;6607047;5432
2737;6611248;4201
2738;6616702;5454
2739;6621033;4331
2740;6626239;5206
2741;6630637;4398
2742;6635785;5148
2743;6640414;4629
2744;6645459;5045
2745;6649904;4445
2746;6655187;5283
2747;6659824;4637
2748;6664858;5034
2749;6669454;4596
2750;6674262;4808
2751;6679093;4831
2752;6683842;4749
2753;6688803;4961
2754;6693448;4645
2755;6698624;5176
2756;6703188;4564
2757;6708200;5012
2758;6712810;4610
2759;6717784;4974
2760;6722587;4803
2761;6727880;5293
2762;6732199;4319
2763;6737579;5380
2764;6741800;4221
2765;6747437;5637
2766;6751889;4452
2767;6757153;5264
2768;6761904;4751
2769;6766644;4740
2770;6771802;5158
2771;6776227;4425
2772;6781765;5538
2773;6786154;4389
2774;6791273;5119
2775;6795734;4461
2776;6801024;5290
2777;6805634;4610
2778;6810841;5207
2779;6815136;4295
2780;6820542;5406
2781;6824963;4421
2782;6830398;5435
2783;6834757;4359
2784;6840384;5627
2785;6844848;4464
2786;6850131;5283
2787;6854471;4340
2788;6859754;5283
2789;6864069;4315
2790;6869316;5247
2791;6873740;4424
2792;6878740;5000
2793;6883699;4959
2794;6888145;4446
2795;6893133;4988
2796;6897872;4739
2797;6903044;5172
2798;6907486;4442
2799;6912616;5130
2800;6917168;4552
2801;6922188;5020
2802;6926749;4561
2803;6932043;5294
2804;6936674;4631
2805;6942018;5344
2806;6946488;4470
2807;6951816;5328
2808;6956415;4599
2809;6961510;5095
2810;6966129;4619
2811;6971507;5378
2812;6975961;4454
2813;6982061;6100
2814;6987260;5199
2815;6993664;6404
2816;6998673;5009
2817;7004953;6280
2818;7009945;4992
2819;7016229;6284
2820;7020521;4292
2821;7025937;5416
2822;7030370;4433
2823;7035639;5269
2824;7040115;4476
2825;7045536;5421
2826;7050119;4583
2827;7055394;5275
2828;7059898;4504
2829;7065116;5218
2830;7069692;4576
2831;7074951;5259
2832;7079512;4561
2833;7084790;5278
2834;7089444;4654
2835;7094484;5040
2836;7099295;4811
2837;7104623;5328
2838;7109037;4414
2839;7114160;5123
2840;7119073;4913
2841;7123786;4713
2842;7128964;5178
2843;7133575;4611
2844;7138889;5314
2845;7143432;4543
2846;7148748;5316
2847;7153334;4586
2848;7158969;5635
2849;7163426;4457
2850;7169152;5726
2851;7173500;4348
2852;7179147;5647
2853;7183561;4414
2854;7188909;5348
2855;7193544;4635
2856;7198871;5327
2857;7203705;4834
2858;7209034;5329
2859;7213458;4424
2860;7219031;5573
2861;7223615;4584
2862;7229125;5510
2863;7233842;4717
2864;7238940;5098
2865;7244162;5222
2866;7248938;4776
2867;7254630;5692
2868;7259032;4402
2869;7264747;5715
2870;7269285;4538
2871;7274740;5455
2872;7279348;4608
2873;7284742;5394
2874;7289592;4850
2875;7294878;5286
2876;7299535;4657
2877;7305070;5535
2878;7309928;4858
2879;7315202;5274
2880;7320017;4815
2881;7325054;5037
2882;7330115;5061
2883;7335090;4975
2884;7340287;5197
2885;7345153;4866
2886;7350575;5422
2887;7355356;4781
2888;7360606;5250
2889;7365435;4829
2890;7370645;5210
2891;7375676;5031
2892;7381220;5544
2893;7385744;4524
2894;7391379;5635
2895;7395800;4421
2896;7401704;5904
2897;7406367;4663
2898;7411880;5513
2899;7416856;4976
2900;7421820;4964
2901;7427222;5402
2902;7431856;4634
2903;7437656;5800
2904;7442252;4596
2905;7447613;5361
2906;7452284;4671
2907;7457824;5540
2908;7462651;4827
2909;7468104;5453
2910;7472601;4497
2911;7478262;5661
2912;7482891;4629
2913;7488582;5691
2914;7493146;4564
2915;7499038;5892
2916;7503712;4674
2917;7509243;5531
2918;7513787;4544
2919;7519318;5531
2920;7523836;4518
2921;7529329;5493
2922;7533961;4632
2923;7539195;5234
2924;7544387;5192
2925;7549041;4654
2926;7554263;5222
2927;7559224;4961
2928;7564638;5414
2929;7569288;4650
2930;7574658;5370
2931;7579423;4765
2932;7584678;5255
2933;7589452;4774
2934;7594994;5542
2935;7599841;4847
2936;7605435;5594
2937;7610113;4678
2938;7615690;5577
2939;7620503;4813
2940;7625836;5333
2941;7630670;4834
2942;7636299;5629
2943;7640960;4661
2944;7647344;6384
2945;7652785;5441
2946;7659487;6702
2947;7664729;5242
2948;7671301;6572
2949;7676525;5224
2950;7683101;6576
2951;7687593;4492
2952;7693260;5667
2953;7697899;4639
2954;7703412;5513
2955;7708096;4684
2956;7713768;5672
2957;7718564;4796
2958;7724083;5519
2959;7728796;4713
2960;7734255;5459
2961;7739043;4788
2962;7744545;5502
2963;7749317;4772
2964;7754839;5522
2965;7759708;4869
2966;7764981;5273
2967;7770014;5033
2968;7775588;5574
2969;7780206;4618
2970;7785565;5359
2971;7790705;5140
2972;7795635;4930
2973;7801052;5417
2974;7805875;4823
2975;7811434;5559
2976;7816186;4752
2977;7821747;5561
2978;7826544;4797
2979;7832438;5894
2980;7837100;4662
2981;7843089;5989
2982;7847637;4548
2983;7853543;5906
2984;7858160;4617
2985;7863753;5593
2986;7868601;4848
2987;7874172;5571
2988;7879228;5056
2989;7884801;5573
2990;7889428;4627
2991;7895256;5828
2992;7900050;4794
2993;7905812;5762
2994;7910745;4933
2995;7916076;5331
2996;7921537;5461
2997;7926531;4994
2998;7932483;5952
2999;7937086;4603
3000;7943062;5976
3001;7947807;4745
3002;7953511;5704
3003;7958329;4818
3004;7963969;5640
3005;7969040;5071
3006;7974567;5527
3007;7979436;4869
3008;7985223;5787
3009;7990302;5079
3010;7995816;5514
3011;8000850;5034
3012;8006116;5266
3013;8011407;5291
